Arabizi,English
8chich,fragile
cha3l,angry
DaSr,naughty
modmin,addicted
moudmin,addicted
moudmine,addicted
ghabyy,stupid
ghaby,stupid
mkllkh,stupid
mkallakh,stupid
mkellekh,stupid
mkallekh,stupid
mjllj,stupid
mjellej,stupid
mjallaj,stupid
mjallej,stupid
kbir,big
kabir,big
Sghir,small
saghir,small
m8rrs,broken
mhrrs,broken
m8arras,broken
m8erras,broken
momill,boring
Sl3,bald
Sla3,bald
Sle3,bald
ghliD,fat
Tebbouzi,fat
r9i9,thin
rqiq,thin
Twil,tall
Twel,tall
9Sir,short
9ssir,short
zwin,beautiful
bogos,handsome
khayb,ugly
khayeb,ugly
5ayb,ugly
8bil,crazy
hbil,crazy
mSTTi,crazy
mSaTTi,crazy
mSeTTi,crazy
3aamr,full
aamr,full
3amer,full
3amr,full
jdid,new
9dim,old
qdim,old
charf,old
chaarf,old
S3ib,hard
9as7,hard
9aas7,hard
sa8l,easy
sahl,easy
m3TTl,late
m3TTel,late
m3aTTal,late
m3Tal,late
7a9i9ia,real
haqiqia,real
3adi,normal
gadd,able
bsiT,simple
basiT,simple
m399d,complex
m3a99ad,complex
m3e99ed,complex
m3a99ed,complex
t9il,slow
tqil,slow
t9il,heavy
tqil,heavy
was3,wide
waas3,wide
wase3,wide
wasa3,wide
nachT,happy
nacheT,happy
n9i,clean
nqi,clean
khayb,bad
khayeb,bad
5ayb,bad
3aadil,fair
3adil,fair
ghany,rich
ghani,rich
fa9ir,poor
faqir,poor
Tabi3i,natural
Taby3i,natural
mfrou9,separate
mafrou9,separate
mefro9,separate
mafro9,separate
mch8our,famous
mech8our,famous
mch8or,famous
mach8our,famous
fr7an,glad
far7an,glad
fer7an,glad
farhan,glad
dourijin,original
dorijin,original
khayf,afraid
5ayf,afraid
khayef,afraid
5ayef,afraid
Dakhm,huge
Da5m,huge
3imla9,giant
za8i,cheerful
zaa8i,cheerful
zahi,cheerful
zaahi,cheerful
fakhour,proud
fakhor,proud
fa5our,proud
fa5or,proud
raDi,satisfied
raaDi,satisfied
7azin,sad
nadm,regretful
naadm,regretful
naadem,regretful
mkta2b,depressed
mkta2b,depressed
mekta2eb,depressed
mekta2ab,depressed
mskin,miserable
meskin,miserable
maskin,miserable
miskin,miserable
mrta7,comfortable
merta7,comfortable
marta7,comfortable
mchghoul,busy
mchghol,busy
mechghoul,busy
machghoul,busy
mchTon,worried
mchToun,worried
mechTon,worried
machToun,worried
m3SSb,nervous
m3eSSeb,nervous
m3aSSab,nervous
m3aSSeb,nervous
mochaghib,troublemaker
mochaaghib,troublemaker
ghDban,angry
ghaDban,angry
gheDban,angry
mrg,embarrassed
mreg,embarrassed
mrag,embarrassed
7chman,shy
7echman,shy
7achman,shy
kalm,calm
calm,calm
wa7id,lonely
wa7yd,lonely
wahid,lonely
mnba8er,amazed
mnba8ar,amazed
mnba8r,amazed
menba8ar,amazed
mstghrb,astonished
msteghreb,astonished
mstaghreb,astonished
mestaghreb,astonished
mchoki,shocked
mrwwn,confused
mrewwen,confused
mrawwen,confused
mtredded,hesitant
mtradded,hesitant
mtraddad,hesitant
3yyan,tired
3eyyan,tired
Tmma3,greedy
Tamma3,greedy
Temma3,greedy
anani,selfish
anaani,selfish
skhi,generous
s5i,generous
s9ram,stingy
se9ram,stingy
bakhil,stingy
ba5il,stingy
Drief,kind
Drayaf,kind
Drayef,kind
Dryef,kind
Sbbar,patient
Sabbar,patient
m2ddb,polite
m2ddeb,polite
m2eddeb,polite
m2addeb,polite
m3gaz,lazy
me3gaz,lazy
ma3gaz,lazy
mojta8id,hardworking
mojtahid,hardworking
moujta8id,hardworking
choja3,brave
chojaa3,brave
za3em,brave
zaa3em,brave
za3m,brave
fDoli,curious
fDouli,curious
mghrour,arrogant
mghror,arrogant
mtwaD3,humble
metwaDe3,humble
mtwaDa3,humble
ja8il,ignorant
jaa8il,ignorant
jahil,ignorant
3abiT,silly
dki,smart
7akim,wise
hakim,wise
nabigha,genius
naabigha,genius
amine,trustworthy
kddab,liar
keddab,liar
kaddab,liar
ghddar,betrayer
gheddar,betrayer
ghaddar,betrayer
nSSab,swindler
neSSab,swindler
naSSab,swindler
nyya,naive
nia,naive
nya,naive
mtfa2l,optimistic
mtfa2el,optimistic
motafa2il,optimistic
mtcha2m,pessimistic
mtcha2em,pessimistic
motacha2im,pessimistic
komik,funny
comic,funny
ytim,orphan
yatim,orphan
itym,orphan
ytym,orphan
7amla,pregnant
hamla,pregnant
ijabi,positive
silbi,negative
waa9i3i,realistic
wa9i3i,realistic
tay3yyef,disgusting
tay3yyf,disgusting
kay3iyyef,disgusting
kay3yyaf,disgusting
tay3adi,contagious
kay3adi,contagious
3ma,blind
Smk,deaf
Smek,deaf
Smak,deaf
zizoun,mute
zizon,mute
mchllel,paralyzed
mchallal,paralyzed
mchellal,paralyzed
mchallel,paralyzed
mo3wwa9,handicapped
mo3a9,handicapped
mo3aa9,handicapped
3agr,sterile
3ager,sterile
3agar,sterile
mj8oul,unknown
mj8ol,unknown
mjhoul,unknown
m9boul,acceptable
ma9boul,acceptable
m9bol,acceptable
m39ol,reasonable
m39oul,reasonable
mn7az,biased
men7az,biased
ma7az,biased
mn7aaz,biased
mo7ayid,neutral
mo7aayid,neutral
waaD7,clear
waaDe7,clear
mojrim,criminal
moujrim,criminal
9ttal,murderer
9ettal,murderer
ghali,expensive
rkhiS,cheap
ga3,all
lkhrin,other
khrin,other
zwin,good
lkher,last
b7al,same
sghir,little
mghyyer,different
lli mora,next
3aDim,great
ma7lli,local
ma7alli,local
jtima3i,social
jtimaa3i,social
mo8im,important
mohim,important
mohimm,important
waTani,national
3aali,high
3ali,high
Twil,long
ttani,second
tani,second
waas3,large
was3,large
3aamm,general
3amm,general
momkin,possible
moumkin,possible
chaabb,young
syasi,political
siasi,political
siyasi,political
3omoumi,public
3omomi,public
mo7ddad,particular
mojoud,available
mojod,available
bkri,early
bekri,early
asaasi,main
asasi,main
ra2isi,major
9tiSadi,economic
i9tiSadi,economic
mo2kkad,sure
ghaliban,likely
ghaaliban,likely
wa7id,only
wa7iid,only
dawli,international
m2kked,certain
mo2kkad,certain
mo3yyan,certain
momyyaz,special
S3ib,difficult
m7loul,open
kollchi,whole
neSS,half
7orr,free
markazi,central
mochtarak,common
cha2i3,common
chaa2i3,common
mtchab8,similar
Darouri,necessary
Darori,necessary
S7i7,true
3aazib,single
3azib,single
wa7id,single
khaSS,private
khaaSS,private
chkhSi,personal
chekhSi,personal
chakhSi,personal
maali,financial
ajnabi,foreign
